question,code,code2
我 热水器 到货 一个多 星期 为什么 还不 安排 安装,1076,61
我 热水器 到 已经 问时间 怎么 没有 人 来 安装,1076,61
我 预约 苏 宁安 装 一直 不 来 你 师傅 问时间 上门,1076,61
商品 怎么 没有 来 安装,1076,61
预约 安装 你 师傅 一直 没有 上门 安装,1076,61
都 到货 问时间 没有 来 安装,1076,61
怎么 没有 来 安装,1076,61
我 问时间 预约 安装 但 没有 师傅 联系我,1076,61
我 买 商品 怎么 没有 约定 时 上门 安装,1076,61
商品 问时间 已经 到 问时间 安 装 没有 来 是 要 重新 预约,1076,61
预约 安装 你 师傅 一直 没有 上门 问时间 来,1076,61
我 问时间 到 商品 到 现在 都 没有 人 来 安装,1076,61
你 新机 安装 是 怎么 派 单 联系 安装 工程师 说 不是 他 安装,1076,61
前 问时间 有 师傅 联系 可是 没有 来,1076,61
超过 预约 安装 时,1076,61
催 预约 安装 一直 没有 上门,1076,61
预约 安装 时 但是 安装 人员 没有 到 来,1076,61
预约 安装 时 到 但是 安装 人员 不到,1076,61
怎么 安装 师傅 不到,1076,61
怎么 预约 时 到 安装 师傅 怎么 还不 来,1076,61
怎么 还不 来 安装,1076,61
我 东西 没有 人 来 安装,1076,61
查 下 商品 到底 问时间 能 来 安装,1076,61
预约 问时间 上门 安装 为什么 没有 来,1076,61
问时间 买 好 问时间 现在 都 没有 人 上门 安装,1076,61
热水器 到 现在 没有 师傅 联系我 安装,1076,61
上周 商品 到 现在 迟迟 不 给 安装 究竟 要 问时间,1076,61
两三天 没有 人 来 安装,1076,61
为什么 我 预约 问时间 还是 一直 没有 上门,1076,61
我 现在 都 没有 到 你 安装 联系,1076,61
问时间 没有 人 过来 安装 你 核实 下,1076,61
怎么 我 热水器 送 过来 问时间 都 没有 人 过来 安装,1076,61
怎么 还不 安排 人 上门 安装,1076,61
怎么 没有 师傅 过来 安装,1076,61
问时间 再不 来 安装 我 要 投诉,1076,61
为什么 到 现在 还不 给 安装,1076,61
你 一点 都 不 守信用 说 好 问时间 安 装,1076,61
为什么 我 预约 安装 服务 到 现在 都 没有 联系我,1076,61
为什么 私自 把 我 安装 单 延期,1076,61
你 师傅 没有 联系 过 我 直接 更改 我 安装 生产日期,1076,61
都 到货 问时间 你 给 不 给 安装,1076,61
一直 没有 人 联系我 现在 告诉 我 他们 安装 不了,1076,61
你 怎么 派 单 联系 手机上 说 号码 说 不是 他 安装,1076,61
我 请假 在家 问时间 为什么 没有 人 来,1076,61
我 商品 安装 申请 怎么 被 取消,1076,61
一直 安装 手机 为什么 说 安装 单被 取消,1076,61
问时间 问时间 安装 又 被 取消,1076,61
我 商品 安装 单 谁 取消,1076,61
我 安装 单 为什么 给我 取消,1076,61
问时间 都 没有 来 师傅 说 转给 商家 安装 为什么,1076,61
申请 安装 单 为什么 没有 经过 我 同意 取消,1076,61
安装 人 根本 没有 来 为什么 服务 单 说 安装 完成,1076,61
我 申请 安装 单 什么 原因 取消,1076,61
师傅 说 我们 这边 他 安装 不了,1076,61
安装 人 说 不是 苏宁 负责 安装 怎么,1076,61
为什么 安装 师傅 我 去 找 商家 安装,1076,61
为什么 安装 师傅 说 我 订单 他们 没有 授权,1076,61
买 为什么 我 联系 商家 安装,1076,61
安装 到底 来 不 来,1076,61
你 推迟 问时间 到底 问时间 过去 安装,1076,61
为什么 说 我 安装 单被 取消,1076,61
油烟机 安装 单 怎么 取消,1076,61
申请 安装 单 为什么 给我 取消,1076,61
商品 安装 单 谁 给我 取消 根本 没有 人 来 安装,1076,61
凭 取消 我 安装 单子,1076,61
你 能 过去 安装 我 没有 时,1076,61
安装 你 打算 拖 到 问时间,1076,61
到底 过 不 过去 安装,1076,61
问时间 过去 安装 师傅 人呢,1076,61
我 到 短信 说 问时间 安 装 没有 见到 人,1076,61
安装 师傅 来 不 来 我 要 出去,1076,61
你 安装 师傅 又 给我 推迟 安装 我 到底 问时间 安装,1076,61
商品 安装 为什么 没有 来,1076,61
你 不是 隔 天安 装 为什么 没有 人 联系我,1076,61
你 人 还不 来 安装,1076,61
到 至今 未 有 人 上门 安装,1076,61
物流 上门 一直 没有 人 联系我 安装,1076,61
安装 联系 催 两次 一直 未来 安装 差 评,1076,61
安装 工程师 联系 停机 怎么,1076,61
催 安装,1076,61
安装 师傅 联系不上,1076,61
怎么 货 到 一直 没有 人 安装,1076,61
不是 问时间 能 安装,1076,61
安装 联系 联系 是 空 号,1076,61
安装 联系 打 不 通,1076,61
什么 问时间 没有 人 和 我 联系 安装,1076,61
没有 人 来 联系我 装 商品,1076,61
问时间 没有 来 安装,1076,61
你 派来 师傅 说 安装 不了,1076,61
商品 为什么 没有 人 上门 安装,1076,61
我 买 商品 一直 没有 人 来 安装,1076,61
安装 一直 不 上门,1076,61
第一次 安排 联系 我 联系 他 他 说 不是 他 安装,1076,61
难道 你 安装 一 星 期 我 要 在 家 守 着 你 一 星 期,1076,61
app 一 看 变成 问时间 安装 又 没有 提醒,1076,61
安装 作业 技能 差,589,61
师傅 安装 时 把 机器 碰 故障 怎么,589,61
你 师傅 技术 太 差 根本 都 没有 装 好,589,61
怎么 投诉 安装 人员,589,61
你 安装 人 服务 好 差,589,61
安装 人 把 问地点 东西 弄 故障 怎么 赔偿,589,61
为什么 派 新手 给我 安装,589,61
能 换 专业 师傅 来 安装,589,61
为什么 安装 师傅 强制 我 一定 要 给 问地点 打 孔,589,61
安装 师傅 技术 很 差 不要 他 装,589,61
安装 故障,589,61
我 要 投诉 你 安装 师傅,589,61
投诉 你 安装 工,589,61
安装 不 规 范 怎么,589,61
安排 新手 什么 都 不懂 根本 没有 装 好,589,61
安装 师傅 态度 太 恶劣,589,61
安装 师傅 没有 一点 素质,589,61
为什么 给我 差劲 安装 师傅,589,61
你 安装 师傅 态度 太 恶劣,589,61
安装 师傅 技能 差,589,61
安装 服务 不是 工程师 过来 安装 安排 新手 什么 都 不懂,589,61
我 反应 师傅 安装 问题,589,61
安装 师傅 怎么 怎么 没有 素质,589,61
安装 技术 不能 服务 态度 差,589,61
安装 师傅 把 我 机器 弄 故障 给我 赔偿,589,61
没有 见 过 差劲 安装 工,589,61
你 安装 真垃圾 出 风 管 都 没有 对,589,61
安装 师傅 把 问地点 地板 弄 故障 赔,589,61
安排 新手 给我 安装 他 根本 什么 都 不懂,589,61
安装 师傅 态度 恶劣 技术 不好 说话 难听 我 要 投诉,589,61
安装 师傅 怎么 没有 一点 素质,589,61
你 师傅 根本 都 没有 装 好,589,61
投诉 安装 人员 太 敷衍,589,61
你 安装 人 是否 专业,589,61
安装 人 把 问地点 墙纸 弄 故障 怎么 赔偿,589,61
安装 人 是 新手 安装 很 差,589,61
能 换 资深 安装 技术 师傅 上门,589,61
安装 工 很 不 专业 不要 他 装,589,61
变频 商品 都 没有 抽 真空 直接 安装,589,61
安装 完成 把 房间 都 弄 很 脏 怎么,589,61
安装 师傅 安装 好 都 没有 安装 直接 走,589,61
大 问时间 来 安装 我 在 睡觉 上门 前 都 没有 联系 联系,589,61
安装 不 合格,589,61
热水器 安装 人员 是否 专业,589,61
师傅 把 外机 装 到 楼下 外机 窗上 面,589,61
收 我 1000多 安装费 还不 给我 弄 好,589,61
安装 乱 收费 怎么,1122,61
安装 多 收 价格,1122,61
我 要 投诉 安装 人 乱 收费,1122,61
安装费 收 不合 理,1122,61
为什么 材料费 比 外面 贵 多,1122,61
网页 说 30 挂架 你 师傅 我 要 40,1122,61
问地点 是 普通 砖墙 怎么 打孔 收费,1122,61
老人 在家 安装 人 乱 收费,1122,61
你 安装 收费 不合 理,1122,61
售后 工程师 怎么 乱 收费,1122,61
售后 工程师 乱 收费,1122,61
售后 工程师 收费 不 标准,1122,61
售后 工程师 收费 收 多,1122,61
安装 师傅 乱 收费,1122,61
安装 师傅 费用 收 多,1122,61
你 安装 商品 为何 收 我 价格,1122,61
你 安装 人员 多 收 我 100元,1122,61
你 装 油烟机 怎么 多 收 我 100块 价格,1122,61
安装 师傅 没有 出示 价目表,1122,61
你 在 网页 说 安装 费 30 怎么 上门 又 要 40,1122,61
材料费 比 外面 高 出 很多 你 不知道,1122,61
打 孔 是 免费 问地点 只 要 孔 也要 加收 50元,1122,61
安装 完全 不 专业 收 我 480元,1122,61
你 安装 师傅 乱 收费,1122,61
安装 为什么 多 收 价格,1122,61
我 要 投诉 你 安装 人员 乱 收费,1122,61
安装 人员 收费 不合 理,1122,61
你 师傅 安装 乱 收费 怎么,1122,61
安装费 要是 多 收 怎么,1122,61
安装费 要是 乱 收 怎么,1122,61
你 师傅 多 收费 有 处罚,1122,61
安装 多 收 费用 赔偿 我,1122,61
你 师傅 是否 乱 收费,1122,61
安装 人 收费 和 们 网页 说 不一样,1122,61
安装 多 收 价格 何处 理,1122,61
投诉 安装 人 乱 收费,1122,61
安装费 收 很 不合 理,1122,61
网页 说 收费 标准 和 实际 严重 不符,1122,61
不是 免费 安装 怎么 上门 要 收 价格,1122,61
你 免费 安装 是 骗人,1122,61
为什么 安装 师傅 说 免费 安装 只是 打 广告,1122,61
安装 不 免费 师傅 为什么 非要 收 我 价格,1122,61
免费 安装 怎么 收费,1122,61
可恶 怎么 安装 收 我 费用,1122,61
我 怎么 知道 安装 工 乱 不 乱 收费,1122,61
安装 乱 收费 什么 说法,1122,61
师傅 是否 乱 收费,1122,61
前后 安装 两台 时 不 长安 装 费 相差 100元,1122,61
安装 多 收费 怎么,1122,61
现在 谁 买 要 点 开 链接 看 我 要 投诉 瞎 收费,1122,61
上次 说 电视机 安装费 问题 没有 人 联系 反馈,1122,61
我 是 七 楼 我 订单 说 高空作业 是 50 但是 安装 工人 说 这边 统一 100,1122,61
商品 自带 零件 材料 问题 我 没有 义务 掏钱 更换 材料,1122,61
为什么 说 负责 材料费 要 说 我 阀门 软管 价格,1122,61
商品 包装 配件 为什么 要 收费,1122,61
送 配件 和 安装 为什么 要 另外 收取 费用,1122,61
不能 安装 怎么,580,61
我 所在 地区 不负责 安装,580,61
她 说 我 所在 地区 不负责 安装,580,61
不能 安装 怎么 办,580,61
说 不 给 安装,580,61
怎么 预约 安装,166,60
安装 找 谁,166,60
怎么 安装,166,60
我 安装 要 怎么 预约,166,60
是 你 安装 还是 商家 安装,166,60
能 预约 下 安装,166,60
商品 到 怎么 预约 安装,166,60
安装 找 你 还是 找 商家,166,60
我 是 商家 安装 怎么 预约,166,60
我 安装 怎么 申请,166,60
麻烦 安排 问时间 安装,166,60
要 安装 服务,166,60
要 安装 怎么 弄,166,60
能 预约 下 问时间 来 安装,166,60
安装 联系 谁,166,60
联系 安装,166,60
到货 我 预约 安装,166,60
上门 安装 打 什么 联系,166,60
上门 安装 商品 是 要 预约,166,60
我 订单 是否 苏 宁安 装,166,60
安排 下 安装,166,60
麻烦 上门 安装 下,166,60
商家 安装 怎么 申请,166,60
问时间 能 安装,166,60
苏宁 怎么 预约 安装,166,60
你 有 安排 安装 人,166,60
能 预约 下 问时间 安装,166,60
能 预约 安装,166,60
你 问时间 给我 安排 安装,166,60
你 能 给 安装,166,60
你 苏宁会 派 人 来 安装,166,60
能 提前 预约 安装,166,60
能 预约 问时间 安装,166,60
是 直接 打 预约 联系 安装,166,60
我 能 预约 问时间 问时间 装,166,60
联系 安装 师傅,166,60
安排 人 安装,166,60
安装 联系 是 多少,166,60
安装 时 怎么 和 师傅 联系,166,60
安装 商品 联系,166,60
联系 给 客服 预约 安装 时,166,60
预约 安装 师傅,166,60
问时间 到货 能 当 天安 装,166,60
联系 安装 员,166,60
安装 要 怎么,166,60
怎么 联系 安装 师傅,166,60
我 商品 是 你 安排 装,166,60
预约 安装 怎么 弄,166,60
我 买 时 不是 预约 安装,166,60
是 你 叫 人 过来 安装,166,60
我 能 预约 安装,166,60
我 问时间 安装 怎么 申请,166,60
我 问时间 安 装 要 联系 谁,166,60
我 商品 订单 要 我 预约 安装,166,60
